id,abv,ibu,name,style,brewery_id,ounces
1436,0.05,,Pub Beer,American Pale Lager,408,12
2265,0.066,,Devil's Cup,American Pale Ale (APA),177,12
2264,0.071,,Rise of the Phoenix,American IPA,177,12
2263,0.09,,Sinister,American Double / Imperial IPA,177,12
2262,0.075,,Sex and Candy,American IPA,177,12
2261,0.077,,Black Exodus,Oatmeal Stout,177,12
2260,0.045,,Lake Street Express,American Pale Ale (APA),177,12
2259,0.065,,Foreman,American Porter,177,12
2258,0.055,,Jade,American Pale Ale (APA),177,12
2131,0.086,,Cone Crusher,American Double / Imperial IPA,177,12
2099,0.072,,Sophomoric Saison,Saison / Farmhouse Ale,177,12
2098,0.073,,Regional Ring Of Fire,Saison / Farmhouse Ale,177,12
2097,0.069,,Garce Selé,Saison / Farmhouse Ale,177,12
1980,0.085,,Troll Destroyer,Belgian IPA,177,12
1979,0.061,60,Bitter Bitch,American Pale Ale (APA),177,12
2318,0.06,,Ginja Ninja,Cider,154,12
2170,0.06,,Cherried Away,Cider,154,12
2169,0.06,,Rhubarbarian,Cider,154,12
1502,0.06,,BrightCider,Cider,154,12
1593,0.082,,He Said Baltic-Style Porter,Baltic Porter,368,12
1592,0.082,,He Said Belgian-Style Tripel,Tripel,368,12
1036,0.099,92,Lower De Boom,American Barleywine,368,8.4
1024,0.079,45,Fireside Chat,Winter Warmer,368,12
976,0.079,,Marooned On Hog Island,American Stout,368,12
876,0.044,42,Bitter American,American Pale Ale (APA),368,12
802,0.049,17,Hell or High Watermelon Wheat (2009),Fruit / Vegetable Beer,368,12
801,0.049,17,Hell or High Watermelon Wheat (2009),Fruit / Vegetable Beer,368,12
800,0.049,17,21st Amendment Watermelon Wheat Beer (2006),Fruit / Vegetable Beer,368,12
799,0.07,70,21st Amendment IPA (2006),American IPA,368,12
797,0.07,70,Brew Free! or Die IPA (2008),American IPA,368,12
796,0.07,70,Brew Free! or Die IPA (2009),American IPA,368,12
531,0.085,52,Special Edition: Allies Win The War!,English Strong Ale,368,12
432,0.097,94,Hop Crisis,American Double / Imperial IPA,368,12
353,0.044,42,Bitter American (2011),American Pale Ale (APA),368,12
321,0.079,45,Fireside Chat (2010),Winter Warmer,368,12
173,0.068,65,Back in Black,American Black Ale,368,12
11,0.083,35,Monk's Blood,Belgian Dark Ale,368,12
10,0.07,65,Brew Free! or Die IPA,American IPA,368,12
9,0.049,17,Hell or High Watermelon Wheat,Fruit / Vegetable Beer,368,12
2519,0.07,82,Bimini Twist,American IPA,67,12
2518,0.05,,Beach Blonde,American Blonde Ale,67,12
2517,0.059,,Rod Bender Red,American Amber / Red Ale,67,12
2545,0.035,11,Passion Fruit Prussia,Berliner Weissbier,60,12
2544,0.045,18,Send Help,American Blonde Ale,60,12
2324,0.055,,Cast Iron Oatmeal Brown,American Brown Ale,60,12
2288,0.06,,Reprise Centennial Red,American Amber / Red Ale,60,12
2287,0.055,,Alter Ego,American Black Ale,60,12
2286,0.065,,Divided Sky,American IPA,60,12
2285,0.065,,Resurrected,American IPA,60,12
1870,0.05,28,Contact High,American Pale Wheat Ale,60,12
2603,0.065,,Galaxyfest,American IPA,27,16
2602,0.05,45,Citrafest,American IPA,27,16
2220,0.09,,Barn Yeti,Belgian Strong Dark Ale,27,16
2219,0.069,65,Scarecrow,American IPA,27,16
2218,0.09,50,Ironman,English Strong Ale,27,16
2217,0.046,15,Honey Kolsch,Kölsch,27,16
2216,0.052,18,Copperhead Amber,Belgian Dark Ale,27,16
972,0.059,75,Rude Parrot IPA,American IPA,481,16
866,0.054,30,British Pale Ale (2010),English Pale Ale,481,16
48,0.054,30,British Pale Ale,English Pale Ale,481,16
47,0.084,82,Ballz Deep Double IPA,American Double / Imperial IPA,481,16
1583,0.038,,Wolfman's Berliner,Berliner Weissbier,373,12
1165,0.055,26,Colorado Native,American Amber / Red Lager,462,12
431,0.055,26,Colorado Native (2011),American Amber / Red Lager,462,12
516,0.065,52,Jockamo IPA,American IPA,533,12
515,0.042,13,Purple Haze,Fruit / Vegetable Beer,533,12
514,0.045,17,Abita Amber,American Amber / Red Lager,533,12
2540,0.082,68,Citra Ass Down,American IPA,62,16
2539,0.05,20,The Brown Note,American Brown Ale,62,16
2686,0.08,68,Citra Ass Down,American Double / Imperial IPA,1,16
2685,0.125,80,London Balling,English Barleywine,1,16
2684,0.077,25,35 K,Milk / Sweet Stout,1,16
2683,0.042,42,A Beer,American Pale Ale (APA),1,16
2682,0.05,25,Rules are Rules,German Pilsener,1,16
2681,0.066,21,Flesh Gourd'n,Pumpkin Ale,1,16
2680,0.04,13,Sho'nuff,Belgian Pale Ale,1,16
2679,0.055,17,Bloody Show,American Pilsner,1,16
2678,0.076,68,Rico Sauvin,American Double / Imperial IPA,1,16
2677,0.051,38,Coq de la Marche,Saison / Farmhouse Ale,1,16
2676,0.065,,Kamen Knuddeln,American Wild Ale,1,16
2675,0.06,65,Pile of Face,American IPA,1,16
2674,0.05,20,The Brown Note,English Brown Ale,1,16
1594,0.053,35,Maylani's Coconut Stout,American Stout,367,16
1162,0.05,35,Oatmeal PSA,American Pale Ale (APA),367,16
1137,0.052,33,Pre Flight Pilsner,American Pilsner,367,16
2403,0.04,20,P-Town Pilsner,American Pilsner,117,12
2402,0.053,36,Klickitat Pale Ale,American Pale Ale (APA),117,12
2401,0.082,103,Yellow Wolf Imperial IPA,American Double / Imperial IPA,117,12
1921,0.053,40,Freeride APA,American Pale Ale (APA),270,12
1920,0.053,18,Alaskan Amber,Altbier,270,12
2501,0.057,,Hopalicious,American Pale Ale (APA),73,12
1535,0.043,,Kentucky Kölsch,Kölsch,388,16
1149,0.065,,Kentucky IPA,American IPA,388,16
1474,0.054,,Dusty Trail Pale Ale,American Pale Ale (APA),401,16
1473,0.062,,Damnesia,American IPA,401,16
837,0.062,43,Desolation IPA,American IPA,401,16
2592,0.059,,Liberty Ale,American IPA,35,12
2578,0.065,,IPA,American IPA,35,12
2577,0.045,,Summer Wheat,American Pale Wheat Ale,35,12
2103,0.049,,California Lager,American Amber / Red Lager,35,12
2102,0.056,,Brotherhood Steam,California Common / Steam Beer,35,12
2291,0.042,,Blood Orange Gose,Gose,171,12
1818,0.042,,Keebarlin' Pale Ale,American Pale Ale (APA),171,12
1738,0.048,,"the Kimmie, the Yink and the Holy Gose",Gose,171,12
1563,0.06,,Fall Hornin',Pumpkin Ale,171,12
1520,0.057,13,Barney Flats Oatmeal Stout,Oatmeal Stout,171,12
1350,0.056,4,Summer Solstice,Cream Ale,171,12
1327,0.07,80,Hop Ottin' IPA,American IPA,171,12
1326,0.058,15,Boont Amber Ale,American Amber / Red Ale,171,12
1221,0.057,13,Barney Flats Oatmeal Stout,Oatmeal Stout,171,12
1217,0.055,25,El Steinber Dark Lager,Vienna Lager,171,16
811,0.058,15,Boont Amber Ale (2010),American Amber / Red Ale,171,12
753,0.056,4,Summer Solstice Cerveza Crema (2009),Cream Ale,171,12
572,0.057,13,Barney Flats Oatmeal Stout (2012),Oatmeal Stout,171,12
523,0.069,6,Winter Solstice,Winter Warmer,171,12
367,0.07,80,Hop Ottin' IPA (2011),American IPA,171,12
78,0.058,15,Boont Amber Ale (2011),American Amber / Red Ale,171,12
77,0.056,4,Summer Solstice (2011),Cream Ale,171,12
76,0.055,28,Poleeko Gold Pale Ale (2009),American Pale Ale (APA),171,12
2337,0.06,,Charlie's Rye IPA,American IPA,146,16
410,0.054,,River Pig Pale Ale,American Pale Ale (APA),542,16
409,0.047,,Oaky's Oatmeal Stout,Oatmeal Stout,542,16
1294,0.05,,Angry Orchard Apple Ginger,Cider,434,16
1293,0.05,,Angry Orchard Crisp Apple,Cider,434,16
1292,0.05,,Angry Orchard Crisp Apple,Cider,434,12
2207,0.068,,Golden One,Belgian Pale Ale,193,12
2040,0.06,,Arjuna,Witbier,193,12
2039,0.085,,Uroboros,American Stout,193,12
2511,0.071,75,Long Leaf,American IPA,69,16
2510,0.047,19,Honey Badger Blonde,American Blonde Ale,69,16
2509,0.06,23,Porter (a/k/a Black Gold Porter),American Porter,69,16
413,0.06,55,Sky High Rye,American Pale Ale (APA),541,12
390,0.062,17,Whitsun,American Pale Wheat Ale,541,12
735,0.052,,On-On Ale (2008),American Pale Ale (APA),513,12
1333,0.092,50,Quakertown Stout,American Double / Imperial Stout,426,12
1332,0.051,20,Greenbelt Farmhouse Ale,Saison / Farmhouse Ale,426,12
1172,0.052,10,Mo's Gose,Gose,461,16
1322,0.07,45,Green Bullet Organic India Pale Ale,American IPA,429,16
550,0.032,27,Rocket Girl,Kölsch,528,12
429,0.053,26,Ninja Porter,American Porter,528,12
428,0.06,69,Shiva IPA,American IPA,528,12
1640,0.048,,Aslan Kölsch,Kölsch,353,16
1639,0.077,,Aslan IPA,American IPA,353,16
1638,0.077,,Aslan Amber,American Amber / Red Ale,353,16
597,0.056,27,This Season's Blonde,American Blonde Ale,523,12
596,0.07,67,Independence Pass Ale,American IPA,523,12
1580,0.057,40,Trolley Stop Stout,American Stout,374,12
980,0.082,138,Bitter Bitch Imperial IPA,American Double / Imperial IPA,374,12
979,0.062,35,Poop Deck Porter,American Porter,374,12
978,0.06,35,Old Red Beard Amber Ale,American Amber / Red Ale,374,12
2503,0.075,115,Hop A-Peel,American Double / Imperial IPA,72,16
2502,0.055,12,Vanilla Java Porter,American Porter,72,16
2495,0.052,,Michelada,Fruit / Vegetable Beer,72,16
534,0.045,8,Dirty Blonde Ale,American Blonde Ale,72,12
528,0.05,62,Grand Circus IPA,American IPA,72,12
527,0.05,12,Atwater's Lager,Munich Helles Lager,72,12
