IdGeographie,Continent,Type,Pays
269,Asia,Country/Region,Armenia
270,Asia,Country/Region,Australia
271,Asia,Country/Region,Bhutan
272,Asia,Country/Region,China
273,Asia,Country/Region,India
274,Asia,Country/Region,Iran
275,Asia,Country/Region,Japan
276,Asia,Country/Region,Kyrgyzstan
277,Asia,Country/Region,Pakistan
278,Asia,Country/Region,Singapore
279,Asia,Country/Region,South Korea
280,Asia,Country/Region,Syria
281,Asia,Country/Region,Taiwan
282,Asia,Country/Region,Thailand
283,Asia,Country/Region,Turkmenistan
303,Asia,State/Province,Turkmenistan
304,Asia,State/Province,Armenia
305,Asia,State/Province,China
306,Asia,State/Province,Japan
307,Asia,State/Province,Kyrgyzstan
308,Asia,State/Province,Syria
309,Asia,State/Province,China
310,Asia,State/Province,Japan
311,Asia,State/Province,China
312,Asia,State/Province,Pakistan
313,Asia,State/Province,Japan
314,Asia,State/Province,Japan
315,Asia,State/Province,Thailand
316,Asia,State/Province,India
317,Asia,State/Province,Australia
318,Asia,State/Province,India
319,Asia,State/Province,Australia
320,Asia,State/Province,South Korea
321,Asia,State/Province,China
322,Asia,State/Province,Singapore
323,Asia,State/Province,Taiwan
324,Asia,State/Province,Iran
325,Asia,State/Province,Bhutan
326,Asia,State/Province,Japan
327,Asia,State/Province,India
328,Asia,State/Province,China
329,Asia,State/Province,South Korea
384,Asia,State/Province,Australia
407,Asia,State/Province,Australia
412,Asia,State/Province,Australia
420,Asia,State/Province,Australia
425,Asia,City,Australia
468,Asia,City,Australia
471,Asia,City,Australia
473,Asia,City,Australia
478,Asia,City,Australia
487,Asia,City,Australia
492,Asia,City,Australia
493,Asia,City,Australia
509,Asia,City,Australia
510,Asia,City,Australia
512,Asia,City,Australia
518,Asia,City,Australia
519,Asia,City,Australia
531,Asia,City,Australia
534,Asia,City,Australia
549,Asia,City,Australia
553,Asia,City,Australia
554,Asia,City,Australia
558,Asia,City,Australia
561,Asia,City,Australia
568,Asia,City,Australia
596,Asia,City,Australia
599,Asia,City,Australia
613,Asia,City,Australia
628,Asia,City,Australia
632,Asia,City,Australia
634,Asia,City,Australia
637,Asia,City,Australia
646,Asia,City,Australia
648,Asia,City,Australia
655,Asia,City,Australia
656,Asia,City,Australia
669,Asia,City,Australia
679,Asia,City,Australia
680,Asia,City,Australia
692,Asia,City,Australia
697,Asia,City,Australia
699,Asia,City,Australia
706,Asia,City,Australia
708,Asia,City,Turkmenistan
709,Asia,City,Thailand
710,Asia,City,China
711,Asia,City,Kyrgyzstan
712,Asia,City,South Korea
713,Asia,City,Australia
