Sous Categorie Produit,IdSousCategorieProduit,IdCategorieProduit
Bluetooth Headphones,6,1
Camcorders,27,4
Cameras & Camcorders Accessories,28,4
Car Video,13,2
Cell phones Accessories,33,5
Computers Accessories,22,3
Desktops,17,3
Digital Cameras,23,4
Digital SLR Cameras,24,4
Home & Office Phones,29,5
Home Theater System,11,2
Laptops,15,3
Monitors,18,3
Movie DVD,35,6
MP4&MP3,1,1
"Printers, Scanners & Fax",20,3
Projectors & Screens,19,3
Recording Pen,4,1
Smart phones & PDAs,32,5
Televisions,9,2
Touch Screen Phones,31,5
VCD & DVD,10,2
